Starting IRSC sequence at 03:47:00Z on MJD 57591

RUN PARAMETERS FOR THIS RUN
 CX =  161  Center of camera in image, x
 CY =  123  Center of camera in image, y
 RC =   15  Outer radius of image of camera
 RO =  100  Outer radius of mask region
 RE =  135  Outer 'useful' radius
 RM =  145  Radius of mirror in image 
 NF =  256  Number of frames avgd per exposure
 SL =  127  Sky level in gifs
NAV =   16  Number of exposures avgd for sky subtr
IVL =   30  Interval in seconds between frames
SHF =    3  Bits to downshift raw images for processing


raw fits file dtb  dte  sky	sig
cR093830.fit   0     5   547  4.96
cR093900.fit   0     5   546  5.15
cR093930.fit   0     4   546  5.20
cR094000.fit   0     5   546  4.82
cR094030.fit   0     4   546  5.05
cR094100.fit   0     5   548  4.89
cR094130.fit   0     5   547  4.40
cR094200.fit   0     4   547  4.76
cR094230.fit   0     5   547  4.85
cR094300.fit   0     5   547  4.33
cR094330.fit   0     4   547  4.85
cR094400.fit   0     4   547  4.89
cR094430.fit   0     5   547  4.29
cR094500.fit   0     5   548  4.74
cR094530.fit   0     4   549  4.61
cR094600.fit   0     5   550  4.29
cR094630.fit   0     5   550  4.80
cR094700.fit   0     4   550  4.67
cR094730.fit   0     4   551  4.29
cR094800.fit   0     5   551  4.85
cR094830.fit   0     5   552  4.60
cR094900.fit   0     6   553  4.06
cR094930.fit   0     4   552  4.71
cR095000.fit   0     5   553  4.58
cR095030.fit   0     4   554  4.09
cR095100.fit   0     5   554  4.72
cR095130.fit   0     4   555  4.56
cR095200.fit   0     4   555  3.69
cR095230.fit   0     5   555  4.65
cR095300.fit   0     4   555  4.57
cR095330.fit   0     5   555  3.58
cR095400.fit   0     4   555  4.72
cR095430.fit   0     5   555  4.62
cR095500.fit   0     4   554  4.38
cR095530.fit   0     4   555  4.77
cR095600.fit   0     5   554  4.45
cR095630.fit   0     4   553  4.75
cR095700.fit   0     5   553  4.85
cR095730.fit   0     4   552  4.50
cR095800.fit   0     4   553  4.86
cR095830.fit   0     5   553  4.90
cR095900.fit   0     5   552  4.38
cR095930.fit   0     5   553  4.79
cR100000.fit   0     5   553  4.68
cR100030.fit   0     4   553  4.30
cR100100.fit   1     5   552  4.77
cR100130.fit   0     4   552  4.68
cR100200.fit   0     5   552  4.32
cR100230.fit   0     4   552  4.90
cR100300.fit   0     5   553  4.57
cR100330.fit   0     4   553  4.26
cR100400.fit   0     5   554  4.76
cR100430.fit   0     5   554  4.67
cR100500.fit   0     5   554  4.11
cR100530.fit   0     4   554  4.66
cR100600.fit   0     4   553  4.57
cR100630.fit   0     6   553  4.01
cR100700.fit   0     4   553  4.72
cR100730.fit   0     4   553  4.63
cR100800.fit   0     5   553  3.84
cR100830.fit   0     4   552  4.73
cR100900.fit   0     5   551  4.66
cR100930.fit   0     4   550  4.11
cR101000.fit   0     5   547  5.35
cR101030.fit   0     4   546  5.12
cR101100.fit   0     6   548  4.37
cR101130.fit   0     5   546  5.28
cR101200.fit   0     4   545  5.37
cR101230.fit   0     5   545  4.61
cR101300.fit   0     4   545  5.44
cR101330.fit   0     5   545  5.13
cR101400.fit   0     5   545  5.07
cR101430.fit   0     4   544  5.13
cR101500.fit   0     5   544  4.87
cR101530.fit   0     4   543  5.07
cR101600.fit   0     5   542  5.04
cR101630.fit   0     4   542  4.69
cR101700.fit   0     4   543  4.90
cR101730.fit   0     5   543  4.85
cR101800.fit   0     4   543  4.52
cR101830.fit   0     5   545  5.00
cR101900.fit   0     5   545  4.63
cR101930.fit   0     4   545  4.35
cR102000.fit   0     5   544  4.68
cR102030.fit   0     4   546  4.64
cR102100.fit   0     5   546  4.18
cR102130.fit   0     5   546  4.66
cR102200.fit   0     6   546  4.45
cR102230.fit   0     5   549  4.18
cR102300.fit   0     4   549  4.73
cR102330.fit   0     5   548  4.70
cR102400.fit   0     5   548  3.92
cR102430.fit   0     5   548  4.60
cR102500.fit   0     4   547  4.53
cR102530.fit   0     5   547  4.00
cR102600.fit   0     4   548  4.80
cR102630.fit   0     6   549  4.55
cR102700.fit   0     4   549  3.71
cR102730.fit   0     4   549  4.68
cR102800.fit   0     5   549  4.76
cR102830.fit   0     4   550  3.66
cR102900.fit   0     5   550  4.91
cR102930.fit   0     4   551  4.67
cR103000.fit   0     5   552  3.57
cR103030.fit   0     5   552  4.62
cR103100.fit   0     5   552  4.27
cR103130.fit   0     4   551  4.67
cR103200.fit   0     5   551  4.57
cR103230.fit   0     4   551  4.28
cR103300.fit   0     5   551  4.67
cR103330.fit   0     4   550  4.69
cR103400.fit   0     4   550  4.37
cR103430.fit   0     5   549  4.79
cR103500.fit   0     4   550  4.72
cR103530.fit   0     4   552  4.27
cR103600.fit   0     5   552  4.69
cR103630.fit   0     4   551  4.56
cR103700.fit   0     6   551  4.26
cR103730.fit   0     4   551  4.74
cR103800.fit   0     4   550  4.57
cR103830.fit   0     5   550  4.19
cR103900.fit   0     4   551  4.74
cR103930.fit   0     4   552  4.56
cR104000.fit   0     5   555  4.18
cR104030.fit   0     4   556  4.79
cR104100.fit   0     5   555  4.62
cR104130.fit   0     4   556  4.13
cR104200.fit   0     5   558  4.95
cR104230.fit   0     5   560  5.01
cR104300.fit   0     4   560  4.59
cR104330.fit   0     5   561  5.14
cR104400.fit   0     5   561  4.88
cR104430.fit   0     4   560  4.00
cR104500.fit   0     5   559  4.74
cR104530.fit   0     4   559  4.43
cR104600.fit   0     4   558  3.21
cR104630.fit   0     5   557  4.59
cR104700.fit   0     4   556  4.50
cR104730.fit   0     4   556  3.85
cR104800.fit   0     5   555  4.97
cR104830.fit   0     5   557  4.47
cR104900.fit   0     5   558  4.24
cR104930.fit   0     4   559  4.62
cR105000.fit   0     5   560  4.25
cR105030.fit   0     5   559  4.64
cR105100.fit   0     5   561  4.59
cR105130.fit   0     4   564  4.52
cR105200.fit   0     5   564  4.96
cR105230.fit   0     4   564  4.99
cR105300.fit   0     4   564  4.46
cR105330.fit   0     5   563  4.69
cR105400.fit   0     4   561  4.58
cR105430.fit   0     5   560  4.36
cR105500.fit   0     4   559  4.81
cR105530.fit   0     5   558  4.82
cR105600.fit   0     4   558  4.47
cR105630.fit   0     5   558  4.89
cR105700.fit   0     4   558  4.77
cR105730.fit   0     4   557  4.38
cR105800.fit   0     5   557  4.93
cR105830.fit   0     4   555  4.89
cR105900.fit   0     4   555  4.46
cR105930.fit   0     4   556  4.97
cR110000.fit   0     6   560  4.45
cR110030.fit   0     4   560  3.82
cR110100.fit   0     5   561  4.72
cR110130.fit   0     4   563  4.66
cR110200.fit   0     4   566  4.86
cR110230.fit   0     5   567  6.00
cR110300.fit   0     4   568  5.95
cR110330.fit   0     5   570  5.77
cR110400.fit   0     4   571  6.82
cR110430.fit   0     4   572  6.53
cR110500.fit   0     5   572  5.58
cR110530.fit   0     5   572  5.90
cR110600.fit   0     5   570  5.22
cR110630.fit   0     4   570  5.15
cR110700.fit   0     5   569  4.79
cR110730.fit   0     4   568  4.50
cR110800.fit   0     4   568  4.89
cR110830.fit   0     5   566  4.93
cR110900.fit   0     4   566  4.61
cR110930.fit   0     5   566  5.09
cR111000.fit   0     4   567  4.96
cR111030.fit   0     4   567  4.43
cR111100.fit   0     5   568  4.76
cR111130.fit   0     5   568  4.70
cR111200.fit   0     5   567  4.32
cR111230.fit   0     4   567  4.72
cR111300.fit   0     4   567  4.65
cR111330.fit   0     5   566  4.27
cR111400.fit   0     5   567  4.70
cR111430.fit   0     4   567  4.71
cR111500.fit   0     5   568  4.37
cR111530.fit   0     4   569  4.87
cR111600.fit   0     4   570  4.84
cR111630.fit   0     5   573  4.88
cR111700.fit   0     4   574  5.74
cR111730.fit   0     4   575  5.57
cR111800.fit   0     5   575  5.19
cR111830.fit   0     4   575  5.64
cR111900.fit   0     5   577  6.04
cR111930.fit   0     4   578  5.86
cR112000.fit   0     6   576  5.72
cR112030.fit   0     4   576  4.98
cR112100.fit   0     5   574  3.78
cR112130.fit   0     5   574  4.63
cR112200.fit   0     5   573  4.51
cR112230.fit   0     4   571  3.98
cR112300.fit   0     5   569  5.55
cR112330.fit   0     4   568  5.61
cR112400.fit   0     5   566  5.85
cR112430.fit   0     4   566  6.52
cR112500.fit   0     5   565  6.25
cR112530.fit   0     4   564  6.59
cR112600.fit   0     5   564  6.33
cR112630.fit   0     5   563  5.98
cR112700.fit   0     4   562  6.02
cR112730.fit   0     5   561  5.88
cR112800.fit   0     4   561  5.24
cR112830.fit   0     5   563  5.15
cR112900.fit   0     4   563  4.80
cR112930.fit   0     4   565  4.39
cR113000.fit   1     5   567  5.00
cR113030.fit   0     4   568  5.20
cR113100.fit   0     5   569  4.66
cR113130.fit   0     4   568  5.02
cR113200.fit   0     5   568  4.89
cR113230.fit   0     5   568  4.31
cR113300.fit   0     4   567  4.70
cR113330.fit   0     4   565  4.64
cR113400.fit   0     5   565  4.09
cR113430.fit   0     4   565  4.78
cR113500.fit   0     5   566  4.63
cR113530.fit   0     4   565  3.88
cR113600.fit   0     5   565  4.63
cR113630.fit   0     4   565  4.65
cR113700.fit   0     5   564  3.80
cR113730.fit   0     4   564  4.62
cR113800.fit   0     5   564  4.48
cR113830.fit   0     4   564  3.46
cR113900.fit   0     5   564  4.64
cR113930.fit   0     4   563  4.49
cR114000.fit   0     5   562  3.55
cR114030.fit   0     4   562  4.75
cR114100.fit   0     5   561  4.63
cR114130.fit   0     5   560  4.55
cR114200.fit   0     4   560  4.98
cR114230.fit   0     5   560  4.62
cR114300.fit   0     4   560  4.85
cR114330.fit   0     4   560  4.79
cR114400.fit   0     5   559  4.57
cR114430.fit   0     4   560  4.82
cR114500.fit   0     5   559  4.65
cR114530.fit   0     4   559  4.31
cR114600.fit   0     5   559  4.65
cR114630.fit   0     5   559  4.76
cR114700.fit   0     5   559  4.16
cR114730.fit   0     5   560  4.68
cR114800.fit   0     4   559  4.58
cR114830.fit   0     4   559  4.07
cR114900.fit   0     6   559  4.57
cR114930.fit   0     4   559  4.55
cR115000.fit   0     5   559  4.13
cR115030.fit   0     4   558  4.63
cR115100.fit   0     5   558  4.51
cR115130.fit   0     5   559  4.00
cR115200.fit   0     4   559  4.70
cR115230.fit   0     4   559  4.48
cR115300.fit   0     5   560  4.03
cR115330.fit   0     4   561  4.71
cR115400.fit   0     5   561  4.57
cR115430.fit   0     4   562  3.78
cR115500.fit   0     4   562  4.68
cR115530.fit   0     5   563  4.70
cR115600.fit   0     4   564  3.72
cR115630.fit   0     4   565  4.95
cR115700.fit   0     5   566  5.00
cR115730.fit   0     4   568  4.40
cR115800.fit   0     5   569  5.48
cR115830.fit   0     4   569  5.28
cR115900.fit   0     5   568  4.76
cR115930.fit   0     4   570  5.29
cR120000.fit   0     5   571  5.03
cR120030.fit   0     5   571  5.28
cR120100.fit   0     4   571  5.02
cR120130.fit   0     4   571  4.74
cR120200.fit   0     5   570  4.93
cR120230.fit   0     4   570  5.20
cR120300.fit   0     5   570  4.40
cR120330.fit   0     4   571  4.80
cR120400.fit   0     5   571  4.64
cR120430.fit   0     4   571  4.39
cR120500.fit   0     5   571  4.76
cR120530.fit   0     4   571  4.55
cR120600.fit   0     5   570  4.12
cR120630.fit   0     4   570  4.60
cR120700.fit   0     5   570  4.54
cR120730.fit   0     4   569  4.15
cR120800.fit   0     5   570  4.72
cR120830.fit   0     4   570  4.55
cR120900.fit   0     5   571  3.99
cR120930.fit   0     5   571  4.63
cR121000.fit   0     4   570  4.69
cR121030.fit   0     4   570  3.94
cR121100.fit   0     5   571  4.71
cR121130.fit   0     5   571  4.42
cR121200.fit   0     4   571  3.72
cR121230.fit   0     4   571  4.73
cR121300.fit   0     5   570  4.29
cR121330.fit   0     4   571  3.58
cR121400.fit   0     5   570  4.63
cR121430.fit   0     4   571  4.38
cR121500.fit   0     5   571  3.29
cR121530.fit   0     4   571  4.63
cR121600.fit   0     5   571  4.30
cR121630.fit   0     4   570  4.59
cR121700.fit   0     5   570  4.70
cR121730.fit   0     4   570  4.37
cR121800.fit   0     4   570  4.77
cR121830.fit   0     5   569  4.64
cR121900.fit   0     5   570  4.27
cR121930.fit   0     4   570  4.76
cR122000.fit   0     5   568  4.68
cR122030.fit   0     4   570  4.35
cR122100.fit   0     4   570  4.77
cR122130.fit   0     5   570  4.78
cR122200.fit   0     4   570  4.32
cR122230.fit   0     4   571  4.68
cR122300.fit   0     5   570  4.60
cR122330.fit   0     4   571  4.15
cR122400.fit   0     4   572  4.71
cR122430.fit   0     5   573  4.65
cR122500.fit   0     4   574  4.23
cR122530.fit   0     5   574  4.81
cR122600.fit   0     5   573  4.59
cR122630.fit   0     4   572  3.97
cR122700.fit   0     5   572  4.56
cR122730.fit   0     4   572  4.63
cR122800.fit   0     4   573  4.25
cR122830.fit   0     5   574  5.56
cR122900.fit   0     4   575  5.83
cR122930.fit   0     4   576  5.61
cR123000.fit   0     5   576  6.20
cR123030.fit   0     4   576  5.51
cR123100.fit   0     5   578  5.12
cR123130.fit   0     4   579  5.80
cR123200.fit   0     4   579  5.36
cR123230.fit   0     5   580  4.55
cR123300.fit   0     4   581  5.64
cR123330.fit   0     4   582  5.46
cR123400.fit   0     5   581  4.86
cR123430.fit   0     5   582  5.69
cR123500.fit   0     5   583  5.99
cR123530.fit   0     4   584  6.90
cR123600.fit   0     6   584  7.55
cR123630.fit   0     4   585  7.61
cR123700.fit   0     6   585  8.43
cR123730.fit   0     5   586  8.75
cR123800.fit   0     5   585  8.89
cR123830.fit   0     4   585  9.11
cR123900.fit   0     5   585  9.38
cR123930.fit   0     5   585  9.24
cR124000.fit   0     5   585  9.33
cR124030.fit   0     5   585  9.08
cR124100.fit   0     5   585  9.12
cR124130.fit   0     4   584  9.26
cR124200.fit   0     5   584  8.77
cR124230.fit   0     5   583  8.43
cR124300.fit   0     4   583  8.39
cR124330.fit   0     5   582  8.21
cR124400.fit   0     5   582  7.76
cR124430.fit   0     5   582  8.09
cR124500.fit   0     4   581  8.02
cR124530.fit   0     5   580  7.44
cR124600.fit   0     5   580  7.70
cR124630.fit   0     5   580  7.69
cR124700.fit   0     5   580  6.88
cR124730.fit   0     5   579  7.14
cR124800.fit   0     4   579  7.12
cR124830.fit   0     5   578  6.83
cR124900.fit   0     5   578  7.30
cR124930.fit   0     4   578  7.00
cR125000.fit   0     6   578  6.36
cR125030.fit   0     5   577  7.01
cR125100.fit   0     6   577  6.77
cR125130.fit   0     4   576  6.52
cR125200.fit   0     5   577  6.75
cR125230.fit   0     4   576  6.12
cR125300.fit   0     5   576  6.23
cR125330.fit   0     5   576  6.15
cR125400.fit   0     5   576  5.79
cR125430.fit   0     5   576  5.99
cR125500.fit   0     6   576  5.82
cR125530.fit   0     5   577  5.87
cR125600.fit   0     5   577  6.25
cR125630.fit   0     5   577  6.37
cR125700.fit   0     4   577  6.18
cR125730.fit   0     5   577  6.72
cR125800.fit   0     5   577  6.40
cR125830.fit   0     5   576  5.84
cR125900.fit   0     6   577  5.99
cR125930.fit   0     4   577  6.07
cR130000.fit   0     5   577  5.79
cR130030.fit   0     5   577  6.40
cR130100.fit   0     5   577  6.16
cR130130.fit   0     4   577  6.08
cR130200.fit   0     5   577  6.75
cR130230.fit   0     6   577  6.39
cR130300.fit   0     6   577  6.29
cR130330.fit   0     4   577  6.59
cR130400.fit   0     5   577  6.73
cR130430.fit   0     5   577  6.24
cR130500.fit   0     6   577  6.74
cR130530.fit   0     4   577  6.56
cR130600.fit   0     5   578  6.05
cR130630.fit   0     5   578  6.25
cR130700.fit   0     5   577  6.04
cR130730.fit   0     4   577  5.12
cR130800.fit   0     6   578  6.06
cR130830.fit   0     5   578  5.77
cR130900.fit   0     4   578  5.30
cR130930.fit   0     5   578  5.90
cR131000.fit   0     6   578  5.36
cR131030.fit   0     5   578  5.61
cR131100.fit   0     5   579  5.58
cR131130.fit   0     5   579  5.29
cR131200.fit   0     7   579  5.45
cR131230.fit   0     4   579  5.42
cR131300.fit   0     6   579  4.98
cR131330.fit   0     6   579  5.32
cR131400.fit   0     6   579  5.38
cR131430.fit   0     6   580  5.04
cR131500.fit   0     5   580  5.37
cR131530.fit   0     5   580  5.23
cR131600.fit   0     6   580  4.87
cR131630.fit   0     5   580  5.25
cR131700.fit   0     5   580  5.10
cR131730.fit   0     4   580  4.87
cR131800.fit   0     6   580  5.33
cR131830.fit   0     5   580  5.20
cR131900.fit   0     6   580  4.91
cR131930.fit   0     4   581  5.47
cR132000.fit   0     5   581  5.20
cR132030.fit   0     5   581  4.72
cR132100.fit   0     5   581  5.15
cR132130.fit   0     4   581  5.18
cR132200.fit   0     4   581  4.72
cR132230.fit   0     5   582  5.61
cR132300.fit   0     6   582  5.19
cR132330.fit   0     4   582  4.60
cR132400.fit   0     5   582  5.38
cR132430.fit   0     5   582  5.24
cR132500.fit   0     6   582  3.93
cR132530.fit   0     5   583  4.94
cR132600.fit   0     5   583  4.76
cR132630.fit   0     4   582  4.71
cR132700.fit   0     6   583  5.64
cR132730.fit   0     5   584  5.81
cR132800.fit   0     6   583  5.31
cR132830.fit   0     5   584  5.99
cR132900.fit   0     5   584  5.48
cR132930.fit   0     5   584  6.01
cR133000.fit   0     5   585  5.63
cR133030.fit   0     4   585  5.51
cR133100.fit   0     5   584  5.66
cR133130.fit   0     5   584  6.59
cR133200.fit   0     4   585  6.86
cR133230.fit   0     5   585  5.57
cR133300.fit   0     5   585  5.19
cR133330.fit   0     5   585  5.42
cR133400.fit   0     5   585  5.07
cR133430.fit   0     4   585  4.95
cR133500.fit   0     6   586  5.09
cR133530.fit   0     5   586  4.99
cR133600.fit   0     5   586  5.38
cR133630.fit   0     5   586  6.20
cR133700.fit   0     6   586  6.77
cR133730.fit   0     4   587  6.92
cR133800.fit   0     5   586  7.31
cR133830.fit   0     6   586  6.99
cR133900.fit   0     5   587  6.49
cR133930.fit   0     5   587  6.16
cR134000.fit   0     6   587  6.26
cR134030.fit   0     4   587  5.49
cR134100.fit   0    12   587  5.76
cR134130.fit   1    10   587  4.73
cR134200.fit   0     5   588  4.18
cR134230.fit   0     4   588  4.96
cR134300.fit   0     6   588  4.59
cR134330.fit   0     5   588  4.12
cR134400.fit   0     4   589  4.83
cR134430.fit   0     5   588  4.75
cR134500.fit   0     5   588  4.08
cR134530.fit   0     5   588  4.94
cR134600.fit   0     5   589  5.16
cR134630.fit   0     5   589  4.33
cR134700.fit   0     6   589  4.94
cR134730.fit   0     5   589  4.93
cR134800.fit   0     5   589  3.93
cR134830.fit   0     5   589  4.77
cR134900.fit   0     4   589  4.62
cR134930.fit   0     5   589  4.67
cR135000.fit   0     4   589  5.41
cR135030.fit   0     4   589  4.90
cR135100.fit   0     5   589  5.07
cR135130.fit   0     4   589  4.86
cR135200.fit   0     5   590  4.78
cR135230.fit   0     4   590  5.13
cR135300.fit   0     5   590  4.88
cR135330.fit   0     5   590  4.96
cR135400.fit   0     5   590  4.96
cR135430.fit   0     5   590  4.74
cR135500.fit   0     4   591  4.66
cR135530.fit   0     4   590  5.40
cR135600.fit   0     5   591  5.44
cR135630.fit   0     6   591  5.45
cR135700.fit   0     5   590  6.27
cR135730.fit   0     5   590  6.12
cR135800.fit   0     4   591  5.36
cR135830.fit   0     4   591  5.31
cR135900.fit   0     5   591  5.89
cR135930.fit   0     4   591  5.82
cR140000.fit   0     5   591  7.07
