Starting IRSC sequence at 03:47:00Z on MJD 57591

RUN PARAMETERS FOR THIS RUN
 CX =  161  Center of camera in image, x
 CY =  123  Center of camera in image, y
 RC =   15  Outer radius of image of camera
 RO =  100  Outer radius of mask region
 RE =  135  Outer 'useful' radius
 RM =  145  Radius of mirror in image 
 NF =  256  Number of frames avgd per exposure
 SL =  127  Sky level in gifs
NAV =   16  Number of exposures avgd for sky subtr
IVL =   30  Interval in seconds between frames
SHF =    3  Bits to downshift raw images for processing


raw fits file dtb  dte  sky	sig
cR050800.fit   0     5   331  2.92
cR050830.fit   0     4   331  3.07
cR050900.fit   0     4   331  2.99
cR050930.fit   0     4   331  3.07
cR051000.fit   0     5   317  3.94
cR051030.fit   0     4   331  2.85
cR051100.fit   0     5   331  2.85
cR051130.fit   0     4   331  2.85
cR051200.fit   0     5   331  2.90
cR051230.fit   0     5   331  3.00
cR051300.fit   0     4   331  3.07
cR051330.fit   0     4   331  2.71
cR051400.fit   0     4   330  2.97
cR051430.fit   0     4   330  2.34
cR051500.fit   0     5   331  2.20
cR051530.fit   0     4   330  2.10
cR051600.fit   0     4   331  1.99
cR051630.fit   0     4   331  2.11
cR051700.fit   0     5   331  2.72
cR051730.fit   0     4   331  2.76
cR051800.fit   0     5   330  2.90
cR051830.fit   0     4   331  3.05
cR051900.fit   0     4   330  3.01
cR051930.fit   0     4   330  2.80
cR052000.fit   0     6   331  2.54
cR052030.fit   0     4   331  2.27
cR052100.fit   0     4   331  2.12
cR052130.fit   0     4   331  2.09
cR052200.fit   0     4   331  1.88
cR052230.fit   0     4   331  1.84
cR052300.fit   0     5   331  1.82
cR052330.fit   0     4   331  1.78
cR052400.fit   0     4   331  1.92
cR052430.fit   0     4   331  2.04
cR052500.fit   0     5   331  2.08
cR052530.fit   0     4   331  2.37
cR052600.fit   0     4   331  2.29
cR052630.fit   0     4   331  2.09
cR052700.fit   0     4   331  2.52
cR052730.fit   0     4   331  2.20
cR052800.fit   0     4   331  2.21
cR052830.fit   0     5   330  2.45
